"No.","Time","Source","Destination","Protocol","Length","Info"
"2432","0.268684","192.168.1.50","192.168.1.40","CIP","120","Success: 'HMI_MV502' - Service (0x4c)"
"2433","0.268856","192.168.1.40","192.168.1.50","TCP","64","53056  >  44818 [ACK] Seq=1489 Ack=1427 Win=8130 Len=0"
"2434","0.268863","192.168.1.50","192.168.1.40","CIP","120","Success: 'HMI_MV503' - Service (0x4c)"
"2435","0.268865","192.168.1.40","192.168.1.50","TCP","64","53056  >  44818 [ACK] Seq=1489 Ack=1489 Win=8068 Len=0"
"2436","0.268868","192.168.1.50","192.168.1.40","CIP","120","Success: 'HMI_MV504' - Service (0x4c)"
"2437","0.268869","192.168.1.20","192.168.1.40","CIP","120","'HMI_AIT402' - Service (0x4c)"
"2438","0.268871","192.168.1.40","192.168.1.50","TCP","64","53056  >  44818 [ACK] Seq=1489 Ack=1551 Win=8006 Len=0"
"2439","0.269148","192.168.1.40","192.168.1.50","TCP","64","53056  >  44818 [ACK] Seq=1489 Ack=1613 Win=7968 Len=0"
"2440","0.269156","192.168.1.60","192.168.1.20","CIP I/O","90","Connection: ID=0x01BC401A, SEQ=0001637145"
"2441","0.269158","192.168.1.40","192.168.1.20","TCP","64","44818  >  52996 [ACK] Seq=721 Ack=559 Win=8130 Len=0"
"2442","0.269553","192.168.1.10","192.168.1.60","CIP","148","Success: 'HMI_LIT101' - Service (0x4c)"
"2443","0.269560","192.168.1.60","192.168.1.10","TCP","64","52416  >  44818 [ACK] Seq=621 Ack=901 Win=8102 Len=0"
"2444","0.269562","192.168.1.30","192.168.1.60","CIP I/O","90","Connection: ID=0x00B34012, SEQ=0001639460"
"2445","0.269930","192.168.1.10","239.192.2.63","CIP I/O","102","Connection: ID=0x004D8000, SEQ=0001654393"
"2446","0.270420","192.168.1.40","192.168.1.50","CIP","108","Success: 'HMI_RO_HPP_SD' - Service (0x4d)"
"2447","0.270427","192.168.1.10","192.168.1.60","CIP I/O","90","Connection: ID=0x00334011, SEQ=0001624105"
"2448","0.270429","192.168.1.50","192.168.1.40","TCP","64","54084  >  44818 [ACK] Seq=1311 Ack=1285 Win=8142 Len=0"
"2449","0.270431","192.168.1.10","192.168.1.50","CIP I/O","90","Connection: ID=0x004D4015, SEQ=0001625179"
"2450","0.270433","192.168.1.40","192.168.1.50","CIP","152","Success: 'HMI_UV401' - Service (0x4c)"
"2451","0.270435","192.168.1.10","192.168.1.30","CIP I/O","90","Connection: ID=0x00334010, SEQ=0001624154"
"2452","0.270657","192.168.1.50","192.168.1.40","TCP","64","54084  >  44818 [ACK] Seq=1311 Ack=1379 Win=8098 Len=0"
"2453","0.270665","192.168.1.20","192.168.1.40","CIP I/O","90","Connection: ID=0x00BD4009, SEQ=0001635334"
"2454","0.271108","192.168.1.40","192.168.1.10","CIP","108","Success: 'HMI_PLANT_AUTO' - Service (0x4d)"
"2455","0.271115","192.168.1.60","192.168.1.10","CIP I/O","90","Connection: ID=0x00CD4026, SEQ=0001636967"
"2456","0.271117","192.168.1.10","192.168.1.40","TCP","64","54088  >  44818 [ACK] Seq=2831 Ack=2131 Win=8142 Len=0"
"2457","0.271119","192.168.1.10","192.168.1.40","CIP I/O","90","Connection: ID=0x013D4010, SEQ=0001622900"
"2458","0.271121","192.168.1.50","239.192.7.63","CIP I/O","102","Connection: ID=0x004D8000, SEQ=0001653712"
"2459","0.271638","192.168.1.30","192.168.1.20","CIP I/O","90","Connection: ID=0x013C4018, SEQ=0001640448"
"2460","0.271646","192.168.1.60","192.168.1.10","CIP","108","Success: 'HMI_PLANT_RESET' - Service (0x4d)"
"2461","0.271648","192.168.1.20","192.168.1.30","CIP I/O","90","Connection: ID=0x00B34013, SEQ=0001636100"
"2462","0.271815","192.168.1.60","192.168.1.10","CIP","116","Success: 'HMI_P6_PERMISSIVE' - Service (0x4c)"
"2463","0.271822","192.168.1.10","192.168.1.60","TCP","64","54082  >  44818 [ACK] Seq=3121 Ack=2339 Win=8142 Len=0"
"2464","0.271824","192.168.1.10","192.168.1.60","TCP","64","54082  >  44818 [ACK] Seq=3121 Ack=2397 Win=8134 Len=0"
"2465","0.271826","192.168.1.30","192.168.1.20","CIP","134","'P2_P2078_AUTOINP' - Service (0x4d)"
"2466","0.271827","192.168.1.70","192.168.1.201","TCP","64","44818  >  63041 [ACK] Seq=1 Ack=1 Win=8192 Len=1"
"2467","0.271978","192.168.1.30","192.168.1.60","CIP","118","'HMI_P602' - Service (0x4c)"
"2468","0.271985","192.168.1.20","192.168.1.30","TCP","64","44818  >  52418 [ACK] Seq=1031 Ack=1481 Win=8116 Len=0"
"2469","0.271987","192.168.1.30","192.168.1.40","CIP","120","'HMI_LIT401' - Service (0x4c)"
"2470","0.271989","192.168.1.201","192.168.1.70","TCP","64","63041  >  44818 [ACK] Seq=1 Ack=2 Win=16252 Len=0"
"2471","0.271990","192.168.1.60","192.168.1.30","TCP","64","44818  >  52416 [ACK] Seq=1949 Ack=1689 Win=8132 Len=0"
"2472","0.272270","192.168.1.40","192.168.1.30","TCP","64","44818  >  52420 [ACK] Seq=811 Ack=621 Win=8130 Len=0"
"2473","0.272278","192.168.1.60","192.168.1.200","CIP","598","Success: Class (0xb2) - Service (0x4c)"
"2474","0.272280","192.168.1.70","192.168.1.10","CIP I/O","90","Connection: ID=0x004D4017, SEQ=0001649396"
"2475","0.272282","192.168.1.70","192.168.1.20","CIP I/O","90","Connection: ID=0x003C4007, SEQ=0001648699"
"2476","0.273156","192.168.1.20","192.168.1.50","CIP I/O","90","Connection: ID=0x00CD4016, SEQ=0001637076"
"2477","0.273991","192.168.1.10","192.168.1.20","CIP","128","'HMI_PLANT' - Service (0x4d)"
"2478","0.273999","192.168.1.10","192.168.1.20","CIP","134","'HMI_PLANT_RESET' - Service (0x4d)"
"2479","0.274001","192.168.1.20","192.168.1.10","TCP","64","44818  >  54084 [ACK] Seq=4015 Ack=4489 Win=8122 Len=0"
"2480","0.274003","192.168.1.20","192.168.1.10","TCP","64","44818  >  54084 [ACK] Seq=4015 Ack=4565 Win=8046 Len=0"
"2481","0.274005","192.168.1.10","192.168.1.30","CIP","128","'HMI_PLANT' - Service (0x4d)"
"2482","0.274237","192.168.1.10","192.168.1.30","CIP","128","'HMI_P3_PERMISSIVE' - Service (0x4c)"
"2483","0.274244","192.168.1.30","192.168.1.10","TCP","64","44818  >  54086 [ACK] Seq=3517 Ack=4335 Win=8122 Len=0"
"2484","0.274246","192.168.1.30","192.168.1.10","TCP","64","44818  >  54086 [ACK] Seq=3517 Ack=4405 Win=8122 Len=0"
"2485","0.274248","192.168.1.10","192.168.1.60","CIP","128","'HMI_PLANT' - Service (0x4d)"
"2486","0.274517","192.168.1.60","192.168.1.10","TCP","64","44818  >  54082 [ACK] Seq=2397 Ack=3191 Win=8122 Len=0"
"2487","0.274525","192.168.1.10","192.168.1.50","CIP","132","'HMI_PLANT_AUTO' - Service (0x4d)"
"2488","0.274527","192.168.1.10","192.168.1.50","CIP","122","'HMI_P5_STATE' - Service (0x4c)"
"2489","0.274529","192.168.1.50","192.168.1.10","TCP","64","44818  >  54080 [ACK] Seq=2591 Ack=3659 Win=8118 Len=0"
"2490","0.274530","192.168.1.50","192.168.1.10","TCP","64","44818  >  54080 [ACK] Seq=2591 Ack=3723 Win=8054 Len=0"
"2491","0.274805","192.168.1.20","192.168.1.30","CIP","108","Success: 'P2_P2078_AUTOINP' - Service (0x4d)"
"2492","0.274812","192.168.1.30","192.168.1.20","TCP","64","52418  >  44818 [ACK] Seq=1481 Ack=1081 Win=8142 Len=0"
"2493","0.274815","192.168.1.10","192.168.1.20","CIP","120","'HMI_FIT201' - Service (0x4c)"
"2494","0.274816","192.168.1.10","192.168.1.20","CIP","132","'HMI_PLANT_AUTO' - Service (0x4d)"
"2495","0.274818","192.168.1.10","192.168.1.20","CIP","128","'HMI_P2_PERMISSIVE' - Service (0x4c)"
"2496","0.275090","192.168.1.20","192.168.1.10","TCP","64","44818  >  54084 [ACK] Seq=4015 Ack=4627 Win=8130 Len=0"
"2497","0.275097","192.168.1.20","192.168.1.10","TCP","64","44818  >  54084 [ACK] Seq=4015 Ack=4701 Win=8056 Len=0"
"2498","0.275099","192.168.1.20","192.168.1.10","TCP","64","44818  >  54084 [ACK] Seq=4015 Ack=4771 Win=7986 Len=0"
"2499","0.275327","192.168.1.10","192.168.1.40","CIP","128","'HMI_PLANT' - Service (0x4d)"
"2500","0.275335","192.168.1.10","192.168.1.40","CIP CM","156","Connection Manager - Forward Open ('j')"
"2501","0.275337","192.168.1.40","192.168.1.10","TCP","64","44818  >  54088 [ACK] Seq=2131 Ack=2901 Win=8122 Len=0"
"2502","0.275339","192.168.1.10","192.168.1.30","CIP","134","'HMI_PLANT_RESET' - Service (0x4d)"
"2503","0.275341","192.168.1.10","192.168.1.30","CIP CM","128","Unconnected Send: 'HMI_LIT301' - Service (0x4c)"
"2504","0.275342","192.168.1.40","192.168.1.10","TCP","64","44818  >  54088 [ACK] Seq=2131 Ack=2999 Win=8024 Len=0"
"2505","0.275565","192.168.1.30","192.168.1.10","TCP","64","44818  >  54086 [ACK] Seq=3517 Ack=4481 Win=8116 Len=0"
"2506","0.275572","192.168.1.30","192.168.1.10","TCP","64","44818  >  54086 [ACK] Seq=3517 Ack=4551 Win=8046 Len=0"
"2507","0.275574","192.168.1.10","192.168.1.20","CIP CM","128","Unconnected Send: 'HMI_MV201' - Service (0x4c)"
"2508","0.275576","192.168.1.40","192.168.1.20","CIP","148","Success: 'HMI_AIT402' - Service (0x4c)"
"2509","0.275773","192.168.1.40","192.168.1.30","CIP","148","Success: 'HMI_LIT401' - Service (0x4c)"
"2510","0.275780","192.168.1.20","192.168.1.10","TCP","64","44818  >  54084 [ACK] Seq=4015 Ack=4841 Win=8122 Len=0"
"2511","0.275782","192.168.1.20","192.168.1.40","TCP","64","52996  >  44818 [ACK] Seq=559 Ack=811 Win=8102 Len=0"
"2512","0.275784","192.168.1.30","192.168.1.40","TCP","64","52420  >  44818 [ACK] Seq=621 Ack=901 Win=8102 Len=0"
"2513","0.276406","192.168.1.10","192.168.1.20","CIP I/O","90","Connection: ID=0x00BC4017, SEQ=0001625180"
"2514","0.276730","192.168.1.20","239.192.3.127","CIP I/O","102","Connection: ID=0x003C8000, SEQ=0001653686"
"2515","0.276738","192.168.1.30","192.168.1.40","CIP I/O","90","Connection: ID=0x01BD4016, SEQ=0001638718"
"2516","0.277427","192.168.1.30","192.168.1.10","CIP","108","Success: 'HMI_PLANT' - Service (0x4d)"
"2517","0.277435","192.168.1.30","192.168.1.10","CIP","116","Success: 'HMI_P3_PERMISSIVE' - Service (0x4c)"
"2518","0.277437","192.168.1.10","192.168.1.30","TCP","64","54086  >  44818 [ACK] Seq=4551 Ack=3567 Win=8142 Len=0"
"2519","0.277439","192.168.1.10","192.168.1.30","TCP","64","54086  >  44818 [ACK] Seq=4551 Ack=3625 Win=8134 Len=0"
"2520","0.277441","192.168.1.50","192.168.1.40","CIP I/O","90","Connection: ID=0x003D4007, SEQ=0001630277"
"2521","0.277915","192.168.1.30","239.192.4.191","CIP I/O","102","Connection: ID=0x00338000, SEQ=0001652883"
"2522","0.277924","192.168.1.40","239.192.5.255","CIP I/O","102","Connection: ID=0x003D8000, SEQ=0001651961"
"2523","0.277926","192.168.1.50","192.168.1.10","CIP","108","Success: 'HMI_PLANT' - Service (0x4d)"
"2524","0.277928","192.168.1.10","192.168.1.50","TCP","64","54080  >  44818 [ACK] Seq=3723 Ack=2641 Win=8142 Len=0"
"2525","0.278241","192.168.1.40","192.168.1.50","CIP I/O","90","Connection: ID=0x014D4024, SEQ=0001636664"
"2526","0.278810","192.168.1.60","239.192.8.127","CIP I/O","102","Connection: ID=0x00338000, SEQ=0001652385"
"2527","0.279232","192.168.1.60","192.168.1.20","CIP I/O","90","Connection: ID=0x01BC401A, SEQ=0001637146"
"2528","0.279690","192.168.1.10","192.168.1.60","CIP","132","'HMI_PLANT_AUTO' - Service (0x4d)"
"2529","0.279697","192.168.1.30","192.168.1.60","CIP I/O","90","Connection: ID=0x00B34012, SEQ=0001639461"
"2530","0.279699","192.168.1.20","192.168.1.10","CIP","108","Success: 'HMI_PLANT' - Service (0x4d)"
"2531","0.279701","192.168.1.10","192.168.1.40","CIP","134","'HMI_PLANT_RESET' - Service (0x4d)"
"2532","0.279703","192.168.1.60","192.168.1.10","TCP","64","44818  >  54082 [ACK] Seq=2397 Ack=3265 Win=8118 Len=0"
"2533","0.279705","192.168.1.10","239.192.2.63","CIP I/O","102","Connection: ID=0x004D8000, SEQ=0001654394"
"2534","0.279867","192.168.1.10","192.168.1.20","TCP","64","54084  >  44818 [ACK] Seq=4841 Ack=4065 Win=8142 Len=0"
"2535","0.279874","192.168.1.40","192.168.1.10","TCP","64","44818  >  54088 [ACK] Seq=2131 Ack=3075 Win=8116 Len=0"
"2536","0.279876","192.168.1.10","192.168.1.40","CIP","128","'HMI_P4_PERMISSIVE' - Service (0x4c)"
"2537","0.280166","192.168.1.40","192.168.1.10","TCP","64","44818  >  54088 [ACK] Seq=2131 Ack=3145 Win=8122 Len=0"
"2538","0.280173","192.168.1.10","192.168.1.30","CIP CM","140","Unconnected Send: 'HMI_PLANT_AUTO' - Service (0x4d)"
"2539","0.280175","192.168.1.30","192.168.1.10","TCP","64","44818  >  54086 [ACK] Seq=3625 Ack=4633 Win=8110 Len=0"
"2540","0.280519","192.168.1.10","192.168.1.60","CIP I/O","90","Connection: ID=0x00334011, SEQ=0001624106"
"2541","0.280526","192.168.1.10","192.168.1.50","CIP I/O","90","Connection: ID=0x004D4015, SEQ=0001625180"
"2542","0.280528","192.168.1.10","192.168.1.30","CIP I/O","90","Connection: ID=0x00334010, SEQ=0001624155"
"2543","0.280530","192.168.1.40","192.168.1.10","CIP","108","Success: 'HMI_PLANT' - Service (0x4d)"
"2544","0.280781","192.168.1.10","192.168.1.40","TCP","64","54088  >  44818 [ACK] Seq=3145 Ack=2181 Win=8142 Len=0"
"2545","0.280788","192.168.1.40","192.168.1.10","CIP CM","128","Success: Connection Manager - Forward Open"
"2546","0.280790","192.168.1.10","192.168.1.40","TCP","64","54088  >  44818 [ACK] Seq=3145 Ack=2251 Win=8122 Len=0"
"2547","0.281129","192.168.1.20","192.168.1.40","CIP I/O","90","Connection: ID=0x00BD4009, SEQ=0001635335"
"2548","0.281136","192.168.1.40","192.168.1.10","CIP","108","Success: 'HMI_PLANT_RESET' - Service (0x4d)"
"2549","0.281138","192.168.1.60","192.168.1.10","CIP I/O","90","Connection: ID=0x00CD4026, SEQ=0001636968"
"2550","0.281140","192.168.1.50","239.192.7.63","CIP I/O","102","Connection: ID=0x004D8000, SEQ=0001653713"
"2551","0.281143","192.168.1.10","192.168.1.40","TCP","64","54088  >  44818 [ACK] Seq=3145 Ack=2301 Win=8142 Len=0"
"2552","0.281435","192.168.1.10","192.168.1.40","CIP I/O","90","Connection: ID=0x013D4010, SEQ=0001622901"
"2553","0.281723","192.168.1.30","192.168.1.20","CIP I/O","90","Connection: ID=0x013C4018, SEQ=0001640449"
"2554","0.281730","192.168.1.60","192.168.1.30","CIP","108","Success: 'P6_P602_AUTOINP' - Service (0x4d)"
"2555","0.281972","192.168.1.30","192.168.1.60","TCP","64","52416  >  44818 [ACK] Seq=1689 Ack=1999 Win=8142 Len=0"
"2556","0.281979","192.168.1.60","192.168.1.30","CIP","152","Success: 'HMI_P602' - Service (0x4c)"
"2557","0.281981","192.168.1.30","192.168.1.60","TCP","64","52416  >  44818 [ACK] Seq=1689 Ack=2093 Win=8098 Len=0"
"2558","0.281983","192.168.1.20","192.168.1.30","CIP I/O","90","Connection: ID=0x00B34013, SEQ=0001636101"
"2559","0.281985","192.168.1.60","192.168.1.20","CIP","120","'HMI_AIT202' - Service (0x4c)"
"2560","0.282248","192.168.1.20","192.168.1.60","TCP","64","44818  >  52418 [ACK] Seq=901 Ack=621 Win=8130 Len=0"
"2561","0.282255","192.168.1.70","192.168.1.10","CIP I/O","90","Connection: ID=0x004D4017, SEQ=0001649397"
"2562","0.282257","192.168.1.60","192.168.1.30","CIP","152","Success: 'HMI_P602' - Service (0x4c)"
"2563","0.282259","192.168.1.70","192.168.1.20","CIP I/O","90","Connection: ID=0x003C4007, SEQ=0001648700"
"2564","0.282551","192.168.1.30","192.168.1.60","TCP","64","52416  >  44818 [ACK] Seq=1689 Ack=2187 Win=8098 Len=0"
"2565","0.282910","192.168.1.60","192.168.1.10","CIP","108","Success: 'HMI_PLANT' - Service (0x4d)"
"2566","0.282918","192.168.1.10","192.168.1.60","TCP","64","54082  >  44818 [ACK] Seq=3265 Ack=2447 Win=8142 Len=0"
"2567","0.283200","192.168.1.20","192.168.1.50","CIP I/O","90","Connection: ID=0x00CD4016, SEQ=0001637077"
"2568","0.284353","192.168.1.20","192.168.1.10","CIP","108","Success: 'HMI_PLANT_RESET' - Service (0x4d)"
"2569","0.284361","192.168.1.10","192.168.1.20","TCP","64","54084  >  44818 [ACK] Seq=4841 Ack=4115 Win=8142 Len=0"
"2570","0.284363","192.168.1.20","192.168.1.10","CIP","156","Success: 'HMI_FIT201' - Service (0x4c)"
"2571","0.284365","192.168.1.10","192.168.1.40","CIP","132","'HMI_PLANT_AUTO' - Service (0x4d)"
"2572","0.284583","192.168.1.10","192.168.1.20","TCP","64","54084  >  44818 [ACK] Seq=4841 Ack=4213 Win=8044 Len=0"
"2573","0.284590","192.168.1.40","192.168.1.10","TCP","64","44818  >  54088 [ACK] Seq=2301 Ack=3219 Win=8118 Len=0"
"2574","0.284592","192.168.1.10","192.168.1.50","CIP","134","'HMI_PLANT_RESET' - Service (0x4d)"
"2575","0.284594","192.168.1.10","192.168.1.50","CIP","128","'HMI_P5_PERMISSIVE' - Service (0x4c)"
"2576","0.284596","192.168.1.50","192.168.1.10","TCP","64","44818  >  54080 [ACK] Seq=2641 Ack=3799 Win=8116 Len=0"
"2577","0.284721","192.168.1.20","192.168.1.10","CIP","108","Success: 'HMI_PLANT_AUTO' - Service (0x4d)"
"2578","0.284728","192.168.1.50","192.168.1.10","TCP","64","44818  >  54080 [ACK] Seq=2641 Ack=3869 Win=8046 Len=0"
"2579","0.284730","192.168.1.10","192.168.1.60","CIP","134","'HMI_PLANT_RESET' - Service (0x4d)"
"2580","0.284850","192.168.1.20","192.168.1.10","CIP","116","Success: 'HMI_P2_PERMISSIVE' - Service (0x4c)"
"2581","0.284854","192.168.1.10","192.168.1.20","TCP","64","54084  >  44818 [ACK] Seq=4841 Ack=4263 Win=7994 Len=0"
"2582","0.284856","192.168.1.60","192.168.1.10","TCP","64","44818  >  54082 [ACK] Seq=2447 Ack=3341 Win=8116 Len=0"
"2583","0.284858","192.168.1.10","192.168.1.60","CIP","128","'HMI_P6_PERMISSIVE' - Service (0x4c)"
"2584","0.285045","192.168.1.10","192.168.1.20","TCP","64","54084  >  44818 [ACK] Seq=4841 Ack=4321 Win=7936 Len=0"
"2585","0.285049","192.168.1.60","192.168.1.10","TCP","64","44818  >  54082 [ACK] Seq=2447 Ack=3411 Win=8122 Len=0"
"2586","0.285050","192.168.1.100","192.168.1.50","CIP","112","Class (0xb2) - Service (0x4c)"
"2587","0.285211","192.168.1.50","192.168.1.100","TCP","64","44818  >  49165 [ACK] Seq=363 Ack=109 Win=8138 Len=0"
"2588","0.285215","192.168.1.100","192.168.1.20","CIP","112","Class (0xb2) - Service (0x4c)"
"2589","0.285216","192.168.1.10","192.168.1.30","CIP","128","'HMI_PLANT' - Service (0x4d)"
"2590","0.285218","192.168.1.20","192.168.1.100","TCP","64","44818  >  49168 [ACK] Seq=231 Ack=109 Win=8138 Len=0"
"2591","0.285219","192.168.1.10","192.168.1.30","CIP","128","'HMI_P3_PERMISSIVE' - Service (0x4c)"
"2592","0.285319","192.168.1.30","192.168.1.10","TCP","64","44818  >  54086 [ACK] Seq=3625 Ack=4703 Win=8122 Len=0"
"2593","0.285322","192.168.1.100","192.168.1.30","CIP","112","Class (0xb2) - Service (0x4c)"
"2594","0.285324","192.168.1.10","192.168.1.50","CIP","128","'HMI_PLANT' - Service (0x4d)"
"2595","0.285422","192.168.1.40","192.168.1.10","CIP","116","Success: 'HMI_P4_PERMISSIVE' - Service (0x4c)"
"2596","0.285424","192.168.1.30","192.168.1.10","TCP","64","44818  >  54086 [ACK] Seq=3625 Ack=4773 Win=8052 Len=0"
"2597","0.285426","192.168.1.40","192.168.1.50","CIP","120","'HMI_MV501' - Service (0x4c)"
"2598","0.285427","192.168.1.30","192.168.1.100","TCP","64","44818  >  49167 [ACK] Seq=178 Ack=109 Win=8138 Len=0"
"2599","0.285429","192.168.1.100","192.168.1.60","CIP","112","Class (0xb2) - Service (0x4c)"
"2600","0.285431","192.168.1.50","192.168.1.10","TCP","64","44818  >  54080 [ACK] Seq=2641 Ack=3939 Win=8122 Len=0"
"2601","0.285522","192.168.1.10","192.168.1.40","TCP","64","54088  >  44818 [ACK] Seq=3219 Ack=2359 Win=8134 Len=0"
"2602","0.285526","192.168.1.40","192.168.1.50","CIP","120","'HMI_MV502' - Service (0x4c)"
"2603","0.285527","192.168.1.50","192.168.1.40","TCP","64","44818  >  53056 [ACK] Seq=1613 Ack=1551 Win=8130 Len=0"
"2604","0.285529","192.168.1.60","192.168.1.100","TCP","64","44818  >  49164 [ACK] Seq=454 Ack=337 Win=8138 Len=0"
"2605","0.285700","192.168.1.50","192.168.1.40","TCP","64","44818  >  53056 [ACK] Seq=1613 Ack=1613 Win=8068 Len=0"
"2606","0.285703","192.168.1.100","192.168.1.10","CIP","112","Class (0xb2) - Service (0x4c)"
"2607","0.285704","192.168.1.10","192.168.1.100","TCP","64","44818  >  49163 [ACK] Seq=134 Ack=109 Win=8138 Len=0"
"2608","0.286480","192.168.1.10","192.168.1.20","CIP I/O","90","Connection: ID=0x00BC4017, SEQ=0001625181"
"2609","0.286685","192.168.1.20","239.192.3.127","CIP I/O","102","Connection: ID=0x003C8000, SEQ=0001653687"
"2610","0.287013","192.168.1.30","192.168.1.40","CIP I/O","90","Connection: ID=0x01BD4016, SEQ=0001638719"
"2611","0.287019","192.168.1.100","192.168.1.40","CIP","112","Class (0xb2) - Service (0x4c)"
"2612","0.287023","192.168.1.30","192.168.1.10","CIP","108","Success: 'HMI_PLANT_RESET' - Service (0x4d)"
"2613","0.287026","192.168.1.40","192.168.1.100","TCP","64","44818  >  49166 [ACK] Seq=210 Ack=109 Win=8138 Len=0"
"2614","0.287239","192.168.1.10","192.168.1.30","TCP","64","54086  >  44818 [ACK] Seq=4773 Ack=3675 Win=8142 Len=0"
"2615","0.287244","192.168.1.30","192.168.1.10","CIP","142","Success: 'HMI_LIT301' - Service (0x4c)"
"2616","0.287246","192.168.1.10","192.168.1.30","TCP","64","54086  >  44818 [ACK] Seq=4773 Ack=3759 Win=8108 Len=0"
"2617","0.287247","192.168.1.30","192.168.1.20","CIP","130","'HMI_P_NAOCL_UF_DUTY' - Service (0x4c)"
"2618","0.287544","192.168.1.20","192.168.1.30","TCP","64","44818  >  52418 [ACK] Seq=1081 Ack=1553 Win=8120 Len=0"
"2619","0.287547","192.168.1.50","192.168.1.40","CIP I/O","90","Connection: ID=0x003D4007, SEQ=0001630278"
"2620","0.287871","192.168.1.30","239.192.4.191","CIP I/O","102","Connection: ID=0x00338000, SEQ=0001652884"
"2621","0.287876","192.168.1.40","239.192.5.255","CIP I/O","102","Connection: ID=0x003D8000, SEQ=0001651962"
"2622","0.288160","192.168.1.50","192.168.1.10","CIP","108","Success: 'HMI_SHUTDOWN_FLUSHING' - Service (0x4d)"
"2623","0.288163","192.168.1.40","192.168.1.50","CIP I/O","90","Connection: ID=0x014D4024, SEQ=0001636665"
"2624","0.288165","192.168.1.10","192.168.1.50","TCP","64","54080  >  44818 [ACK] Seq=3939 Ack=2691 Win=8142 Len=0"
"2625","0.288167","192.168.1.50","192.168.1.10","CIP","116","Success: 'HMI_P5_SD_FLUSHING_DONE' - Service (0x4c)"
"2626","0.288444","192.168.1.10","192.168.1.50","TCP","64","54080  >  44818 [ACK] Seq=3939 Ack=2749 Win=8134 Len=0"
"2627","0.288448","192.168.1.50","192.168.1.40","CIP CM","128","Unconnected Send: 'HMI_FIT401' - Service (0x4c)"
"2628","0.288690","192.168.1.40","192.168.1.50","TCP","64","44818  >  54084 [ACK] Seq=1379 Ack=1381 Win=8122 Len=0"
"2629","0.288693","192.168.1.60","239.192.8.127","CIP I/O","102","Connection: ID=0x00338000, SEQ=0001652386"
"2630","0.289239","192.168.1.20","192.168.1.10","CIP","114","Success: 'HMI_MV201' - Service (0x4c)"
"2631","0.289248","192.168.1.60","192.168.1.20","CIP I/O","90","Connection: ID=0x01BC401A, SEQ=0001637147"
"2632","0.289250","192.168.1.20","192.168.1.30","CIP","120","'HMI_LIT301' - Service (0x4c)"
"2633","0.289253","192.168.1.10","192.168.1.100","CIP","191","Success: Class (0xb2) - Service (0x4c)"
"2634","0.289254","192.168.1.10","192.168.1.20","TCP","64","54084  >  44818 [ACK] Seq=4841 Ack=4377 Win=8136 Len=0"
"2635","0.289446","192.168.1.20","192.168.1.30","CIP","120","'HMI_MV301' - Service (0x4c)"
"2636","0.289454","192.168.1.30","192.168.1.20","TCP","64","44818  >  52994 [ACK] Seq=1369 Ack=1179 Win=8130 Len=0"
"2637","0.289456","192.168.1.30","192.168.1.20","TCP","64","44818  >  52994 [ACK] Seq=1369 Ack=1241 Win=8068 Len=0"
"2638","0.289458","192.168.1.10","192.168.1.40","CIP","134","'HMI_PLANT_RESET' - Service (0x4d)"
"2639","0.289599","192.168.1.20","192.168.1.50","CIP","120","'HMI_AIT501' - Service (0x4c)"
"2640","0.289608","192.168.1.40","192.168.1.10","TCP","64","44818  >  54088 [ACK] Seq=2359 Ack=3295 Win=8116 Len=0"
"2641","0.289612","192.168.1.20","192.168.1.50","CIP","120","'HMI_AIT502' - Service (0x4c)"
"2642","0.289616","192.168.1.20","192.168.1.50","CIP","120","'HMI_AIT503' - Service (0x4c)"
"2643","0.289619","192.168.1.30","192.168.1.60","CIP I/O","90","Connection: ID=0x00B34012, SEQ=0001639462"
"2644","0.289622","192.168.1.50","192.168.1.20","TCP","64","44818  >  52992 [ACK] Seq=2521 Ack=1551 Win=8130 Len=0"
"2645","0.289625","192.168.1.20","192.168.1.50","CIP","120","'HMI_AIT504' - Service (0x4c)"
"2646","0.289717","192.168.1.50","192.168.1.20","TCP","64","44818  >  52992 [ACK] Seq=2521 Ack=1613 Win=8068 Len=0"
"2647","0.289729","192.168.1.10","239.192.2.63","CIP I/O","102","Connection: ID=0x004D8000, SEQ=0001654395"
"2648","0.289735","192.168.1.50","192.168.1.20","TCP","64","44818  >  52992 [ACK] Seq=2521 Ack=1675 Win=8006 Len=0"
"2649","0.289925","192.168.1.50","192.168.1.20","TCP","64","44818  >  52992 [ACK] Seq=2521 Ack=1737 Win=7944 Len=0"
"2650","0.289935","192.168.1.20","192.168.1.60","CIP","148","Success: 'HMI_AIT202' - Service (0x4c)"
"2651","0.290203","192.168.1.60","192.168.1.20","TCP","64","52418  >  44818 [ACK] Seq=621 Ack=991 Win=8102 Len=0"
"2652","0.290214","192.168.1.20","192.168.1.100","CIP","288","Success: Class (0xb2) - Service (0x4c)"
"2653","0.290219","192.168.1.20","192.168.1.30","CIP","116","Success: 'HMI_P_NAOCL_UF_DUTY' - Service (0x4c)"
"2654","0.290222","192.168.1.30","192.168.1.20","TCP","64","52418  >  44818 [ACK] Seq=1553 Ack=1139 Win=8134 Len=0"
"2655","0.290576","192.168.1.10","192.168.1.60","CIP I/O","90","Connection: ID=0x00334011, SEQ=0001624107"
"2656","0.290582","192.168.1.10","192.168.1.50","CIP I/O","90","Connection: ID=0x004D4015, SEQ=0001625181"
